year,sex,age,value
2019,both,53,507
2019,both,54,539.1
2019,both,55,553.1
2019,both,56,555.7
2019,both,57,543.1
2019,both,58,547.8
2019,both,59,536.5
2019,both,60,522.7
2019,both,61,514.5
2019,both,62,500.2
2019,both,63,483.5
2019,both,64,475.2
2019,both,65,453.6
2019,both,66,430.2
2019,both,67,411
2019,both,68,400.2
2019,both,69,388.4
2019,both,70,377.2
2019,both,71,372.7
2019,both,72,366.7
2019,both,73,311.6
2019,both,74,284.8
2019,both,75,271.4
2019,both,76,255.4
2019,both,77,232.7
2019,both,78,217.5
2019,both,79,198.9
2019,both,80,185.9
2019,both,81,172.1
2019,both,82,158
2019,both,83,148.4
2019,both,84,135.9
2019,both,85,123.3
2019,both,86,115.1
2019,both,87,105
2019,both,88,94.7
2019,both,89,82.3
2019,both,90,69.2
2019,both,91,58.8
2019,both,92,48
2019,both,93,39.1
2019,both,94,30.9
2019,both,95,23.7
2019,both,96,17.6
2019,both,97,13
2019,both,98,9.1
2019,both,99,6
2019,both,100,8.4
2020,both,40,511.1
2020,both,41,499.2
2020,both,42,490.5
2020,both,43,488.4
2020,both,44,486.7
2020,both,45,484.5
2020,both,46,471.7
2020,both,47,470.8
2020,both,48,475.6
2020,both,49,494.3
2020,both,50,489.4
2020,both,51,484.3
2020,both,52,479.2
2020,both,53,482.4
2020,both,54,505.9
2020,both,55,537.8
2020,both,56,551.5
2020,both,57,553.7
2020,both,58,541.1
2020,both,59,545.7
2020,both,60,534
2020,both,61,520.2
2020,both,62,511.7
2020,both,63,497.3
2020,both,64,480.3
2020,both,65,471.7
2020,both,66,449.9
2020,both,67,426.2
2020,both,68,406.9
2020,both,69,395.8
2020,both,70,383.7
2020,both,71,372.2
2020,both,72,367.1
2020,both,73,360.7
2020,both,74,305.9
2020,both,75,279
2020,both,76,265.3
2020,both,77,248.8
2020,both,78,226.1
2020,both,79,210.6
2020,both,80,191.8
2020,both,81,178.4
2020,both,82,164.4
2020,both,83,149.9
2020,both,84,140
2020,both,85,127.1
2020,both,86,114.5
2020,both,87,105.7
2020,both,88,95.3
2020,both,89,84.8
2020,both,90,72.4
2020,both,91,59.8
2020,both,92,49.8
2020,both,93,39.9
2020,both,94,31.8
2020,both,95,24.5
2020,both,96,18.4
2020,both,97,13.3
2020,both,98,9.4
2020,both,99,6.5
2020,both,100,9.5
2021,both,40,522
2021,both,41,514
2021,both,42,501.6
2021,both,43,492.7
2021,both,44,490
2021,both,45,488.2
2021,both,46,485.6
2021,both,47,472.9
2021,both,48,471.6
2021,both,49,475.8
2021,both,50,494.4
2021,both,51,488.9
2021,both,52,484
2021,both,53,478.5
2021,both,54,481.4
2021,both,55,504.8
2021,both,56,536.3
2021,both,57,549.6
2021,both,58,551.7
2021,both,59,539
2021,both,60,543.2
2021,both,61,531.5
2021,both,62,517.4
2021,both,63,508.8
2021,both,64,494.2
2021,both,65,477
2021,both,66,468
2021,both,67,445.9
2021,both,68,422.1
2021,both,69,402.7
2021,both,70,391.1
2021,both,71,378.7
2021,both,72,366.8
2021,both,73,361.2
2021,both,74,354.1
2021,both,75,299.7
2021,both,76,272.8
2021,both,77,258.5
2021,both,78,241.9
2021,both,79,218.9
2021,both,80,203.1
2021,both,81,184.2
2021,both,82,170.6
2021,both,83,156.1
2021,both,84,141.5
2021,both,85,131.1
2021,both,86,118.1
2021,both,87,105.1
2021,both,88,95.9
2021,both,89,85.4
2021,both,90,74.7
2021,both,91,62.7
2021,both,92,50.8
2021,both,93,41.5
2021,both,94,32.4
2021,both,95,25.3
2021,both,96,19
2021,both,97,13.9
2021,both,98,9.7
2021,both,99,6.7
2021,both,100,10.5
2022,both,40,521.3
2022,both,41,524.7
2022,both,42,516.3
2022,both,43,503.6
2022,both,44,494.3
2022,both,45,491.5
2022,both,46,489.2
2022,both,47,486.8
2022,both,48,473.8
2022,both,49,471.8
2022,both,50,476
2022,both,51,493.8
2022,both,52,488.6
2022,both,53,483.3
2022,both,54,477.6
2022,both,55,480.4
2022,both,56,503.5
2022,both,57,534.4
2022,both,58,547.7
2022,both,59,549.5
2022,both,60,536.6
2022,both,61,540.7
2022,both,62,528.8
2022,both,63,514.6
2022,both,64,505.7
2022,both,65,490.8
2022,both,66,473.3
2022,both,67,463.9
2022,both,68,441.7
2022,both,69,417.7
2022,both,70,398
2022,both,71,386.2
2022,both,72,373.3
2022,both,73,360.9
2022,both,74,354.7
2022,both,75,347
2022,both,76,293.1
2022,both,77,266
2022,both,78,251.4
2022,both,79,234.4
2022,both,80,211.4
2022,both,81,195.3
2022,both,82,176.2
2022,both,83,162.1
2022,both,84,147.5
2022,both,85,132.6
2022,both,86,121.8
2022,both,87,108.6
2022,both,88,95.6
2022,both,89,86
2022,both,90,75.2
2022,both,91,64.7
2022,both,92,53.3
2022,both,93,42.2
2022,both,94,33.7
2022,both,95,25.7
2022,both,96,19.6
2022,both,97,14.3
2022,both,98,10.1
2022,both,99,6.9
2022,both,100,11.4
2023,both,40,527.4
2023,both,41,524.2
2023,both,42,527
2023,both,43,518.4
2023,both,44,505.3
2023,both,45,495.8
2023,both,46,492.6
2023,both,47,490.5
2023,both,48,487.6
2023,both,49,474.1
2023,both,50,472
2023,both,51,475.5
2023,both,52,493.6
2023,both,53,487.9
2023,both,54,482.3
2023,both,55,476.6
2023,both,56,479.3
2023,both,57,501.9
2023,both,58,532.7
2023,both,59,545.6
2023,both,60,547.2
2023,both,61,534.3
2023,both,62,538.1
2023,both,63,525.9
2023,both,64,511.5
2023,both,65,502.3
2023,both,66,487.2
2023,both,67,469.3
2023,both,68,459.6
2023,both,69,437.2
2023,both,70,413
2023,both,71,393
2023,both,72,380.8
2023,both,73,367.5
2023,both,74,354.7
2023,both,75,347.9
2023,both,76,339.5
2023,both,77,285.9
2023,both,78,258.8
2023,both,79,243.7
2023,both,80,226.4
2023,both,81,203.2
2023,both,82,186.9
2023,both,83,167.6
2023,both,84,153.2
2023,both,85,138.3
2023,both,86,123.3
2023,both,87,112.1
2023,both,88,98.7
2023,both,89,85.7
2023,both,90,75.9
2023,both,91,65.2
2023,both,92,55
2023,both,93,44.2
2023,both,94,34.3
2023,both,95,26.8
2023,both,96,19.9
2023,both,97,14.7
2023,both,98,10.4
2023,both,99,7.2
2023,both,100,12
2024,both,40,531.2
2024,both,41,530.3
2024,both,42,526.6
2024,both,43,529.2
2024,both,44,520
2024,both,45,506.9
2024,both,46,497
2024,both,47,493.9
2024,both,48,491.4
2024,both,49,487.9
2024,both,50,474.4
2024,both,51,471.8
2024,both,52,475.4
2024,both,53,493
2024,both,54,487
2024,both,55,481.5
2024,both,56,475.6
2024,both,57,477.9
2024,both,58,500.4
2024,both,59,530.8
2024,both,60,543.4
2024,both,61,544.8
2024,both,62,531.6
2024,both,63,535.2
2024,both,64,522.9
2024,both,65,508.1
2024,both,66,498.7
2024,both,67,483
2024,both,68,464.9
2024,both,69,454.9
2024,both,70,432.3
2024,both,71,407.9
2024,both,72,387.7
2024,both,73,374.9
2024,both,74,361.3
2024,both,75,347.9
2024,both,76,340.5
2024,both,77,331.4
2024,both,78,278.3
2024,both,79,251
2024,both,80,235.5
2024,both,81,217.8
2024,both,82,194.6
2024,both,83,177.8
2024,both,84,158.5
2024,both,85,143.8
2024,both,86,128.7
2024,both,87,113.5
2024,both,88,102
2024,both,89,88.6
2024,both,90,75.7
2024,both,91,65.7
2024,both,92,55.4
2024,both,93,45.8
2024,both,94,36
2024,both,95,27.3
2024,both,96,20.7
2024,both,97,15
2024,both,98,10.8
2024,both,99,7.5
2024,both,100,12.6
2025,both,40,536
2025,both,41,534.2
2025,both,42,532.8
2025,both,43,528.8
2025,both,44,530.9
2025,both,45,521.6
2025,both,46,508
2025,both,47,498.3
2025,both,48,494.9
2025,both,49,491.8
2025,both,50,488.3
2025,both,51,474
2025,both,52,471.6
2025,both,53,475
2025,both,54,492
2025,both,55,486.2
2025,both,56,480.4
2025,both,57,474.2
2025,both,58,476.5
2025,both,59,498.7
2025,both,60,528.7
2025,both,61,541.1
2025,both,62,542.2
2025,both,63,529
2025,both,64,532.1
2025,both,65,519.5
2025,both,66,504.5
2025,both,67,494.5
2025,both,68,478.7
2025,both,69,460.5
2025,both,70,450
2025,both,71,427
2025,both,72,402.5
2025,both,73,381.9
2025,both,74,368.7
2025,both,75,354.5
